,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2014,"7,1 °C","Min. 02:202,9 °C","Max. 13:0510,9 °C",77 %,Min. 13:1070 %,Max. 09:5587 %,"1012,5 hPa","Min. 23:451006,5 hPa","Max. 08:451015,6 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,7 km/h (1 Bft)","Max. 21:459,3 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,2 °C","Max. 12:406,0 °C","Min. 02:20-0,5 °C","7,0 °C","Max. 13:0510,9 °C","Min. 02:202,9 °C","9,5 km/h (2 Bft)","Max. 18:4524,1 km/h (4 Bft)"
1,02.01.2014,"8,4 °C","Min. 23:506,1 °C","Max. 11:5010,2 °C",84 %,Min. 01:5566 %,Max. 08:3092 %,"1006,6 hPa","Min. 04:251004,1 hPa","Max. 23:401011,1 hPa","3,4 l/m²","Max. 13:400,6 l/m²","2,9 km/h (1 Bft)","Max. 02:009,2 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"5,7 °C","Max. 14:358,5 °C","Min. 02:453,1 °C","8,3 °C","Max. 11:5510,2 °C","Min. 23:506,1 °C","9,9 km/h (2 Bft)","Max. 02:4525,7 km/h (4 Bft)"
2,03.01.2014,"8,7 °C","Min. 08:106,0 °C","Max. 22:1011,2 °C",84 %,Min. 11:5071 %,Max. 00:0091 %,"1010,7 hPa","Min. 08:351009,3 hPa","Max. 23:301013,6 hPa","0,2 l/m²","Max. 01:550,2 l/m²","1,9 km/h (1 Bft)","Max. 22:058,4 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"6,1 °C","Max. 16:208,3 °C","Min. 08:053,9 °C","8,7 °C","Max. 22:1511,2 °C","Min. 08:106,0 °C","7,5 km/h (2 Bft)","Max. 22:0532,2 km/h (5 Bft)"
3,04.01.2014,"8,0 °C","Min. 23:555,3 °C","Max. 13:0510,6 °C",85 %,Min. 12:5571 %,Max. 20:4594 %,"1006,6 hPa","Min. 23:20999,0 hPa","Max. 02:151014,9 hPa","1,2 l/m²","Max. 14:550,2 l/m²","1,3 km/h (1 Bft)","Max. 12:406,9 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"5,7 °C","Max. 14:456,7 °C","Min. 23:554,3 °C","8,0 °C","Max. 13:0510,6 °C","Min. 23:555,3 °C","5,5 km/h (2 Bft)","Max. 11:4520,9 km/h (4 Bft)"
4,05.01.2014,"6,1 °C","Min. 20:153,7 °C","Max. 14:458,8 °C",87 %,Min. 15:1068 %,Max. 02:4595 %,"1008,9 hPa","Min. 01:10998,7 hPa","Max. 19:151015,1 hPa","0,4 l/m²","Max. 04:100,2 l/m²","1,1 km/h (0 Bft)","Max. 12:255,1 km/h (1 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"4,1 °C","Max. 12:105,9 °C","Min. 23:251,7 °C","6,1 °C","Max. 14:458,8 °C","Min. 20:153,7 °C","5,0 km/h (1 Bft)","Max. 13:4017,7 km/h (3 Bft)"
5,06.01.2014,"8,4 °C","Min. 02:553,4 °C","Max. 18:2012,6 °C",74 %,Min. 09:0566 %,Max. 22:2587 %,"1012,6 hPa","Min. 20:001010,4 hPa","Max. 00:151014,9 hPa","0,4 l/m²","Max. 21:250,2 l/m²","1,5 km/h (1 Bft)","Max. 18:205,0 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"4,0 °C","Max. 19:157,8 °C","Min. 03:200,7 °C","8,4 °C","Max. 18:2012,6 °C","Min. 02:553,4 °C","6,9 km/h (2 Bft)","Max. 04:5020,9 km/h (4 Bft)"
6,07.01.2014,"11,1 °C","Min. 05:309,2 °C","Max. 12:4513,8 °C",78 %,Min. 12:4567 %,Max. 22:5591 %,"1016,5 hPa","Min. 00:001012,9 hPa","Max. 21:451018,0 hPa","0,8 l/m²","Max. 20:400,2 l/m²","0,9 km/h (0 Bft)","Max. 00:555,2 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"7,2 °C","Max. 22:558,8 °C","Min. 03:105,8 °C","11,1 °C","Max. 12:4513,8 °C","Min. 06:209,2 °C","4,3 km/h (1 Bft)","Max. 00:4514,5 km/h (3 Bft)"
7,08.01.2014,"10,7 °C","Min. 23:108,1 °C","Max. 12:5515,0 °C",88 %,Min. 13:4075 %,Max. 06:3593 %,"1019,9 hPa","Min. 00:051017,5 hPa","Max. 11:151022,4 hPa","2,6 l/m²","Max. 02:050,6 l/m²","0,6 km/h (0 Bft)","Max. 03:353,6 km/h (1 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"8,6 °C","Max. 12:5511,0 °C","Min. 22:556,8 °C","10,7 °C","Max. 12:5515,0 °C","Min. 23:108,1 °C","3,2 km/h (1 Bft)","Max. 03:3514,5 km/h (3 Bft)"
8,09.01.2014,"10,5 °C","Min. 23:508,2 °C","Max. 13:1514,2 °C",80 %,Min. 16:1563 %,Max. 00:1093 %,"1013,1 hPa","Min. 16:351009,3 hPa","Max. 00:001018,5 hPa","0,2 l/m²","Max. 19:050,2 l/m²","2,2 km/h (1 Bft)","Max. 18:359,7 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"7,2 °C","Max. 01:308,4 °C","Min. 23:555,8 °C","10,5 °C","Max. 13:1514,2 °C","Min. 21:158,1 °C","8,6 km/h (2 Bft)","Max. 18:3029,0 km/h (5 Bft)"
9,10.01.2014,"6,8 °C","Min. 23:552,7 °C","Max. 13:4510,8 °C",83 %,Min. 13:2570 %,Max. 20:4092 %,"1018,5 hPa","Min. 00:001014,3 hPa","Max. 11:101020,5 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,7 km/h (0 Bft)","Max. 14:254,0 km/h (1 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"4,2 °C","Max. 14:506,0 °C","Min. 23:551,2 °C","6,8 °C","Max. 13:4010,7 °C","Min. 23:552,7 °C","4,1 km/h (1 Bft)","Max. 01:2016,1 km/h (3 Bft)"
