,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2009,"-1,1 °C","Min. 23:55-4,7 °C","Max. 10:350,6 °C",88 %,Min. 17:5581 %,Max. 09:2594 %,"1027,7 hPa","Min. 00:251025,3 hPa","Max. 21:051028,8 hPa","0,2 l/m²","Max. 12:300,2 l/m²","0,9 km/h (0 Bft)","Max. 16:004,8 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-2,8 °C","Max. 10:35-0,3 °C","Min. 23:55-6,5 °C","-1,1 °C","Max. 10:350,6 °C","Min. 23:55-4,7 °C","3,9 km/h (1 Bft)","Max. 16:0017,7 km/h (3 Bft)"
1,02.01.2009,"-2,6 °C","Min. 02:40-5,7 °C","Max. 14:301,2 °C",86 %,Min. 15:1076 %,Max. 03:3591 %,"1027,1 hPa","Min. 06:101026,0 hPa","Max. 22:101028,6 hPa","0,2 l/m²","Max. 13:400,2 l/m²","0,2 km/h (0 Bft)","Max. 14:102,1 km/h (1 Bft)",W-NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-4,5 °C","Max. 14:30-2,2 °C","Min. 02:10-7,1 °C","-2,6 °C","Max. 14:301,2 °C","Min. 02:40-5,7 °C","1,9 km/h (1 Bft)","Max. 21:356,4 km/h (2 Bft)"
2,03.01.2009,"-1,6 °C","Min. 20:35-3,7 °C","Max. 13:402,4 °C",77 %,Min. 12:1064 %,Max. 22:5586 %,"1026,6 hPa","Min. 15:501024,9 hPa","Max. 00:201028,8 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,1 km/h (1 Bft)","Max. 09:406,7 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-5,1 °C","Max. 14:00-3,5 °C","Min. 20:25-6,1 °C","-1,6 °C","Max. 13:402,4 °C","Min. 20:35-3,7 °C","4,5 km/h (1 Bft)","Max. 08:3019,3 km/h (3 Bft)"
3,04.01.2009,"-3,4 °C","Min. 05:20-6,8 °C","Max. 22:05-1,0 °C",85 %,Min. 22:2080 %,Max. 07:0591 %,"1021,7 hPa","Min. 23:551017,7 hPa","Max. 00:001025,1 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,0 km/h (0 Bft)","Max. 10:454,0 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-5,5 °C","Max. 16:00-3,7 °C","Min. 05:20-8,3 °C","-3,4 °C","Max. 22:05-1,0 °C","Min. 05:20-6,8 °C","4,0 km/h (1 Bft)","Max. 09:3514,5 km/h (3 Bft)"
4,05.01.2009,"-1,4 °C","Min. 21:55-2,4 °C","Max. 13:45-0,6 °C",84 %,Min. 02:3078 %,Max. 17:4092 %,"1017,8 hPa","Min. 06:501016,2 hPa","Max. 23:301020,6 hPa","0,2 l/m²","Max. 15:300,2 l/m²","0,7 km/h (0 Bft)","Max. 23:554,9 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,8 °C","Max. 13:35-2,3 °C","Min. 21:40-5,3 °C","-1,4 °C","Max. 13:45-0,6 °C","Min. 21:40-2,3 °C","3,9 km/h (1 Bft)","Max. 23:5517,7 km/h (3 Bft)"
5,06.01.2009,"-4,3 °C","Min. 23:55-8,3 °C","Max. 00:05-1,8 °C",77 %,Min. 14:4573 %,Max. 08:0580 %,"1020,9 hPa","Min. 14:401020,3 hPa","Max. 10:151021,9 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,5 km/h (1 Bft)","Max. 00:005,6 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-7,7 °C","Max. 00:20-4,9 °C","Min. 23:55-11,8 °C","-4,3 °C","Max. 00:05-1,8 °C","Min. 23:55-8,3 °C","6,0 km/h (2 Bft)","Max. 02:1017,7 km/h (3 Bft)"
6,07.01.2009,"-7,6 °C","Min. 08:40-12,3 °C","Max. 21:15-4,1 °C",74 %,Min. 22:0563 %,Max. 09:2084 %,"1022,9 hPa","Min. 01:351021,0 hPa","Max. 23:551026,7 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,5 km/h (0 Bft)","Max. 13:403,1 km/h (1 Bft)",N,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-11,4 °C","Max. 17:00-8,1 °C","Min. 08:30-14,9 °C","-7,6 °C","Max. 21:20-4,1 °C","Min. 08:40-12,3 °C","2,4 km/h (1 Bft)","Max. 14:258,0 km/h (2 Bft)"
7,08.01.2009,"-5,3 °C","Min. 09:00-9,9 °C","Max. 14:05-0,7 °C",77 %,Min. 17:1562 %,Max. 06:0090 %,"1029,3 hPa","Min. 00:101026,6 hPa","Max. 10:201031,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,4 km/h (1 Bft)","Max. 21:558,6 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-8,9 °C","Max. 14:05-5,9 °C","Min. 08:25-11,4 °C","-5,3 °C","Max. 14:05-0,7 °C","Min. 08:25-9,8 °C","5,1 km/h (1 Bft)","Max. 21:5520,9 km/h (4 Bft)"
8,09.01.2009,"-6,7 °C","Min. 08:30-10,4 °C","Max. 13:55-2,5 °C",79 %,Min. 13:3066 %,Max. 23:0088 %,"1029,9 hPa","Min. 05:451029,2 hPa","Max. 09:201030,9 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,7 km/h (0 Bft)","Max. 00:153,5 km/h (1 Bft)",N-NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-9,7 °C","Max. 14:10-7,8 °C","Min. 08:35-12,3 °C","-6,7 °C","Max. 13:30-2,6 °C","Min. 08:35-10,4 °C","2,8 km/h (1 Bft)","Max. 03:2016,1 km/h (3 Bft)"
9,10.01.2009,"-8,2 °C","Min. 08:05-11,5 °C","Max. 14:15-2,7 °C",84 %,Min. 14:3570 %,Max. 01:2589 %,"1030,5 hPa","Min. 01:301029,6 hPa","Max. 22:401032,7 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,3 km/h (0 Bft)","Max. 11:553,0 km/h (1 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-10,4 °C","Max. 14:30-7,1 °C","Min. 08:05-13,1 °C","-8,2 °C","Max. 14:15-2,7 °C","Min. 08:05-11,5 °C","1,1 km/h (1 Bft)","Max. 14:358,0 km/h (2 Bft)"
