,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
10,11.01.2015,"5,6 °C","Min. 09:203,9 °C","Max. 11:407,1 °C",75 %,Min. 15:5562 %,Max. 00:0093 %,"1021,3 hPa","Min. 01:001015,9 hPa","Max. 22:551027,3 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,5 km/h (1 Bft)","Max. 15:457,4 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,6 °C","Max. 00:005,4 °C","Min. 16:10-0,5 °C","5,6 °C","Max. 11:407,1 °C","Min. 09:203,9 °C","11,2 km/h (2 Bft)","Max. 14:4532,2 km/h (5 Bft)"
11,12.01.2015,"7,1 °C","Min. 00:005,7 °C","Max. 21:108,8 °C",72 %,Min. 22:0057 %,Max. 03:4081 %,"1023,7 hPa","Min. 23:451019,8 hPa","Max. 00:001026,9 hPa","0,0 l/m²","Max. 00:000,0 l/m²","3,6 km/h (1 Bft)","Max. 01:358,2 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,3 °C","Max. 03:403,1 °C","Min. 22:200,5 °C","7,0 °C","Max. 21:108,8 °C","Min. 01:354,3 °C","13,0 km/h (3 Bft)","Max. 01:3527,4 km/h (5 Bft)"
12,13.01.2015,"9,3 °C","Min. 08:254,7 °C","Max. 14:1515,0 °C",60 %,Min. 14:2041 %,Max. 23:4591 %,"1014,5 hPa","Min. 20:001010,8 hPa","Max. 00:001019,9 hPa","3,0 l/m²","Max. 23:550,4 l/m²","2,3 km/h (1 Bft)","Max. 21:158,2 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,6 °C","Max. 22:208,0 °C","Min. 08:25-1,9 °C","9,3 °C","Max. 14:1515,0 °C","Min. 08:254,7 °C","8,9 km/h (2 Bft)","Max. 15:2033,8 km/h (5 Bft)"
13,14.01.2015,"6,2 °C","Min. 21:502,5 °C","Max. 12:259,3 °C",87 %,Min. 12:2573 %,Max. 00:3093 %,"1014,6 hPa","Min. 00:151011,3 hPa","Max. 22:001019,2 hPa","4,0 l/m²","Max. 13:550,4 l/m²","2,3 km/h (1 Bft)","Max. 14:459,8 km/h (2 Bft)",S-SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"4,1 °C","Max. 00:007,9 °C","Min. 21:200,7 °C","6,1 °C","Max. 12:259,3 °C","Min. 21:402,6 °C","10,0 km/h (2 Bft)","Max. 14:4029,0 km/h (5 Bft)"
14,15.01.2015,"8,8 °C","Min. 00:253,7 °C","Max. 15:4511,4 °C",71 %,Min. 17:0061 %,Max. 00:0089 %,"1009,1 hPa","Min. 19:251004,7 hPa","Max. 00:001018,1 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,8 km/h (1 Bft)","Max. 11:307,5 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,8 °C","Max. 23:455,0 °C","Min. 00:102,0 °C","8,8 °C","Max. 15:4511,4 °C","Min. 00:003,8 °C","9,3 km/h (2 Bft)","Max. 10:4024,1 km/h (4 Bft)"
15,16.01.2015,"6,5 °C","Min. 23:405,1 °C","Max. 00:0010,8 °C",90 %,Min. 00:0067 %,Max. 17:3596 %,"1007,4 hPa","Min. 14:351005,9 hPa","Max. 08:301009,2 hPa","13,8 l/m²","Max. 04:050,2 l/m²","0,3 km/h (0 Bft)","Max. 04:254,1 km/h (1 Bft)",N-NO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"5,0 °C","Max. 04:106,4 °C","Min. 11:004,4 °C","6,5 °C","Max. 00:0010,8 °C","Min. 23:405,1 °C","2,2 km/h (1 Bft)","Max. 02:2012,9 km/h (3 Bft)"
16,17.01.2015,"4,3 °C","Min. 23:501,6 °C","Max. 14:055,4 °C",96 %,Min. 16:4095 %,Max. 00:0096 %,"1015,0 hPa","Min. 00:001009,1 hPa","Max. 23:201019,4 hPa","2,0 l/m²","Max. 00:200,2 l/m²","0,1 km/h (0 Bft)","Max. 16:202,0 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,7 °C","Max. 14:054,8 °C","Min. 23:500,9 °C","4,3 °C","Max. 14:055,4 °C","Min. 23:501,6 °C","1,6 km/h (1 Bft)","Max. 02:456,4 km/h (2 Bft)"
17,18.01.2015,"1,8 °C","Min. 05:55-0,4 °C","Max. 14:155,3 °C",90 %,Min. 14:3077 %,Max. 00:3596 %,"1017,1 hPa","Min. 22:451014,6 hPa","Max. 02:251019,6 hPa","0,2 l/m²","Max. 02:500,2 l/m²","0,9 km/h (0 Bft)","Max. 13:154,8 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"0,4 °C","Max. 12:552,5 °C","Min. 23:55-1,2 °C","1,8 °C","Max. 14:155,3 °C","Min. 05:55-0,4 °C","4,3 km/h (1 Bft)","Max. 20:2516,1 km/h (3 Bft)"
18,19.01.2015,"-0,6 °C","Min. 03:05-2,3 °C","Max. 01:001,7 °C",93 %,Min. 01:0086 %,Max. 08:4095 %,"1012,4 hPa","Min. 20:201010,9 hPa","Max. 00:001014,6 hPa","0,2 l/m²","Max. 22:200,2 l/m²","0,1 km/h (0 Bft)","Max. 20:502,1 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-1,6 °C","Max. 23:550,2 °C","Min. 02:50-3,5 °C","-0,6 °C","Max. 01:051,7 °C","Min. 03:45-2,3 °C","1,2 km/h (1 Bft)","Max. 00:556,4 km/h (2 Bft)"
19,20.01.2015,"0,4 °C","Min. 23:50-2,2 °C","Max. 15:352,2 °C",93 %,Min. 15:2586 %,Max. 02:0595 %,"1012,3 hPa","Min. 04:551010,7 hPa","Max. 21:201013,8 hPa","1,0 l/m²","Max. 10:150,2 l/m²","0,2 km/h (0 Bft)","Max. 10:252,2 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-0,6 °C","Max. 14:100,5 °C","Min. 23:30-3,2 °C","0,4 °C","Max. 15:352,2 °C","Min. 23:30-2,1 °C","1,6 km/h (1 Bft)","Max. 11:158,0 km/h (2 Bft)"
