,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2012,"11,3 °C","Min. 00:009,1 °C","Max. 21:1013,2 °C",93 %,Min. 21:2083 %,Max. 00:5097 %,"1014,8 hPa","Min. 23:551011,6 hPa","Max. 11:001016,5 hPa","1,0 l/m²","Max. 01:150,2 l/m²","2,5 km/h (1 Bft)","Max. 20:556,2 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"10,2 °C","Max. 13:5511,2 °C","Min. 00:008,5 °C","11,3 °C","Max. 21:1013,2 °C","Min. 00:009,1 °C","9,3 km/h (2 Bft)","Max. 20:5020,9 km/h (4 Bft)"
1,02.01.2012,"10,3 °C","Min. 22:106,7 °C","Max. 00:1513,0 °C",87 %,Min. 04:2080 %,Max. 11:5593 %,"1011,9 hPa","Min. 07:551007,9 hPa","Max. 23:551020,3 hPa","1,8 l/m²","Max. 18:150,4 l/m²","2,3 km/h (1 Bft)","Max. 11:358,6 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"8,2 °C","Max. 00:1510,4 °C","Min. 23:454,6 °C","10,3 °C","Max. 00:1513,0 °C","Min. 22:106,7 °C","8,8 km/h (2 Bft)","Max. 11:4025,7 km/h (4 Bft)"
2,03.01.2012,"7,7 °C","Min. 08:303,9 °C","Max. 23:2511,4 °C",77 %,Min. 15:4062 %,Max. 05:2592 %,"1018,3 hPa","Min. 21:401010,8 hPa","Max. 05:201023,8 hPa","0,2 l/m²","Max. 16:550,2 l/m²","4,9 km/h (1 Bft)","Max. 19:4013,3 km/h (3 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,8 °C","Max. 23:557,4 °C","Min. 08:351,7 °C","7,3 °C","Max. 23:3011,4 °C","Min. 08:403,9 °C","15,3 km/h (3 Bft)","Max. 21:3543,5 km/h (6 Bft)"
3,04.01.2012,"6,9 °C","Min. 07:154,9 °C","Max. 00:0011,3 °C",80 %,Min. 12:3566 %,Max. 01:1093 %,"1016,9 hPa","Min. 00:001011,0 hPa","Max. 15:451021,7 hPa","6,6 l/m²","Max. 07:000,6 l/m²","3,4 km/h (1 Bft)","Max. 21:5012,1 km/h (2 Bft)",S-SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,6 °C","Max. 01:108,2 °C","Min. 16:001,3 °C","6,7 °C","Max. 00:0011,3 °C","Min. 23:352,3 °C","12,7 km/h (3 Bft)","Max. 21:3035,4 km/h (5 Bft)"
4,05.01.2012,"6,0 °C","Min. 13:203,5 °C","Max. 12:458,1 °C",87 %,Min. 23:1577 %,Max. 11:2594 %,"999,8 hPa","Min. 12:55990,2 hPa","Max. 00:001013,8 hPa","5,2 l/m²","Max. 13:050,8 l/m²","6,8 km/h (2 Bft)","Max. 13:0016,5 km/h (3 Bft)",S-SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"4,0 °C","Max. 12:457,0 °C","Min. 23:151,2 °C","4,6 °C","Max. 11:506,8 °C","Min. 13:05-0,4 °C","19,5 km/h (3 Bft)","Max. 13:0049,9 km/h (7 Bft)"
5,06.01.2012,"5,3 °C","Min. 03:003,7 °C","Max. 14:507,4 °C",80 %,Min. 01:4574 %,Max. 19:3586 %,"1015,7 hPa","Min. 00:001003,4 hPa","Max. 23:001024,9 hPa","0,2 l/m²","Max. 15:250,2 l/m²","3,6 km/h (1 Bft)","Max. 03:2513,1 km/h (3 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,2 °C","Max. 15:353,8 °C","Min. 01:450,6 °C","5,1 °C","Max. 15:057,4 °C","Min. 03:25-0,8 °C","12,5 km/h (2 Bft)","Max. 02:2033,8 km/h (5 Bft)"
6,07.01.2012,"4,6 °C","Min. 04:203,2 °C","Max. 19:256,6 °C",87 %,Min. 05:4578 %,Max. 16:5095 %,"1019,8 hPa","Min. 16:251015,9 hPa","Max. 00:001024,7 hPa","1,4 l/m²","Max. 10:000,2 l/m²","2,9 km/h (1 Bft)","Max. 08:4510,2 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,7 °C","Max. 16:505,1 °C","Min. 05:200,5 °C","4,6 °C","Max. 19:256,6 °C","Min. 08:450,6 °C","10,2 km/h (2 Bft)","Max. 08:4525,7 km/h (4 Bft)"
7,08.01.2012,"6,2 °C","Min. 04:455,0 °C","Max. 14:408,8 °C",82 %,Min. 15:2066 %,Max. 07:0092 %,"1021,5 hPa","Min. 07:051019,1 hPa","Max. 23:501025,9 hPa","0,8 l/m²","Max. 03:000,2 l/m²","1,8 km/h (1 Bft)","Max. 15:007,0 km/h (2 Bft)",SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,3 °C","Max. 12:254,8 °C","Min. 16:102,2 °C","6,2 °C","Max. 14:408,8 °C","Min. 04:554,9 °C","7,6 km/h (2 Bft)","Max. 04:5522,5 km/h (4 Bft)"
8,09.01.2012,"4,9 °C","Min. 05:303,3 °C","Max. 23:506,3 °C",92 %,Min. 00:0084 %,Max. 12:15100 %,"1028,7 hPa","Min. 00:001025,9 hPa","Max. 23:201030,5 hPa","2,6 l/m²","Max. 01:050,2 l/m²","0,7 km/h (0 Bft)","Max. 19:253,6 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,8 °C","Max. 23:505,6 °C","Min. 05:301,8 °C","4,9 °C","Max. 23:506,3 °C","Min. 05:303,3 °C","4,3 km/h (1 Bft)","Max. 19:2517,7 km/h (3 Bft)"
9,10.01.2012,"7,1 °C","Min. 00:006,3 °C","Max. 13:008,1 °C",95 %,Min. 13:5094 %,Max. 04:1596 %,"1033,1 hPa","Min. 00:051030,3 hPa","Max. 20:401034,7 hPa","1,4 l/m²","Max. 00:350,2 l/m²","0,4 km/h (0 Bft)","Max. 13:203,2 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"6,4 °C","Max. 12:307,4 °C","Min. 23:255,4 °C","7,1 °C","Max. 13:008,1 °C","Min. 00:006,3 °C","2,6 km/h (1 Bft)","Max. 01:0011,3 km/h (2 Bft)"
