,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2008,"0,1 °C","Min. 23:55-2,7 °C","Max. 01:251,4 °C",91 %,Min. 18:4081 %,Max. 06:15100 %,"1026,4 hPa","Min. 23:501024,8 hPa","Max. 00:251028,6 hPa","0,2 l/m²","Max. 10:150,2 l/m²","0,3 km/h (0 Bft)","Max. 17:054,8 km/h (1 Bft)",N,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-1,2 °C","Max. 01:300,7 °C","Min. 23:55-3,8 °C","0,1 °C","Max. 01:301,4 °C","Min. 23:55-2,7 °C","2,2 km/h (1 Bft)","Max. 18:0511,3 km/h (2 Bft)"
1,02.01.2008,"-0,3 °C","Min. 01:35-3,2 °C","Max. 13:352,1 °C",76 %,Min. 21:5566 %,Max. 00:0593 %,"1020,0 hPa","Min. 23:501013,1 hPa","Max. 00:001024,9 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,9 km/h (1 Bft)","Max. 15:258,0 km/h (2 Bft)",O-NO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-4,1 °C","Max. 14:45-2,6 °C","Min. 23:55-5,5 °C","-0,3 °C","Max. 13:402,1 °C","Min. 01:35-3,2 °C","9,6 km/h (2 Bft)","Max. 22:1027,4 km/h (5 Bft)"
2,03.01.2008,"1,5 °C","Min. 00:55-0,7 °C","Max. 16:403,1 °C",63 %,Min. 17:1054 %,Max. 00:5570 %,"1008,8 hPa","Min. 13:201007,0 hPa","Max. 00:051013,2 hPa","0,0 l/m²","Max. 00:000,0 l/m²","3,8 km/h (1 Bft)","Max. 16:4011,3 km/h (2 Bft)",O-NO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-4,9 °C","Max. 14:35-3,9 °C","Min. 00:10-5,6 °C","1,4 °C","Max. 18:103,1 °C","Min. 03:15-1,5 °C","12,1 km/h (2 Bft)","Max. 19:2532,2 km/h (5 Bft)"
3,04.01.2008,"1,9 °C","Min. 08:40-0,6 °C","Max. 13:155,2 °C",68 %,Min. 13:1056 %,Max. 08:3579 %,"1012,2 hPa","Min. 00:001008,7 hPa","Max. 21:101015,0 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,2 km/h (1 Bft)","Max. 21:206,4 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,3 °C","Max. 23:55-1,5 °C","Min. 02:00-4,9 °C","1,9 °C","Max. 13:155,2 °C","Min. 08:40-0,6 °C","4,7 km/h (1 Bft)","Max. 00:4022,5 km/h (4 Bft)"
4,05.01.2008,"6,1 °C","Min. 00:002,1 °C","Max. 09:308,8 °C",82 %,Min. 09:4562 %,Max. 15:5593 %,"1010,4 hPa","Min. 23:551007,0 hPa","Max. 02:151014,0 hPa","5,2 l/m²","Max. 10:300,2 l/m²","2,7 km/h (1 Bft)","Max. 09:458,0 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,1 °C","Max. 20:456,1 °C","Min. 00:40-1,7 °C","6,1 °C","Max. 09:308,8 °C","Min. 00:002,1 °C","8,5 km/h (2 Bft)","Max. 11:4025,7 km/h (4 Bft)"
5,06.01.2008,"5,8 °C","Min. 23:551,2 °C","Max. 14:109,7 °C",88 %,Min. 15:0067 %,Max. 04:4595 %,"1012,7 hPa","Min. 02:151005,5 hPa","Max. 20:101018,9 hPa","4,8 l/m²","Max. 00:000,2 l/m²","1,2 km/h (1 Bft)","Max. 14:104,8 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"4,0 °C","Max. 12:206,3 °C","Min. 23:550,0 °C","5,8 °C","Max. 14:109,7 °C","Min. 23:551,2 °C","4,8 km/h (1 Bft)","Max. 14:1017,7 km/h (3 Bft)"
6,07.01.2008,"6,8 °C","Min. 00:200,8 °C","Max. 12:409,8 °C",81 %,Min. 23:2068 %,Max. 01:2095 %,"1016,4 hPa","Min. 08:151009,8 hPa","Max. 23:401021,7 hPa","4,4 l/m²","Max. 07:500,6 l/m²","3,0 km/h (1 Bft)","Max. 14:509,7 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,7 °C","Max. 12:407,2 °C","Min. 00:20-0,3 °C","6,7 °C","Max. 12:409,8 °C","Min. 00:200,8 °C","9,4 km/h (2 Bft)","Max. 14:3025,7 km/h (4 Bft)"
7,08.01.2008,"6,5 °C","Min. 08:203,8 °C","Max. 14:459,9 °C",77 %,Min. 00:0068 %,Max. 08:2588 %,"1022,7 hPa","Min. 23:501018,7 hPa","Max. 09:301025,1 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,0 km/h (1 Bft)","Max. 00:108,0 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,8 °C","Max. 14:404,7 °C","Min. 23:501,2 °C","6,5 °C","Max. 14:459,9 °C","Min. 08:203,8 °C","6,8 km/h (2 Bft)","Max. 00:2022,5 km/h (4 Bft)"
8,09.01.2008,"6,3 °C","Min. 06:303,4 °C","Max. 14:009,6 °C",79 %,Min. 12:5570 %,Max. 18:2092 %,"1017,8 hPa","Min. 14:551016,0 hPa","Max. 23:451020,7 hPa","0,4 l/m²","Max. 17:250,2 l/m²","2,1 km/h (1 Bft)","Max. 10:556,4 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,9 °C","Max. 20:006,9 °C","Min. 03:000,1 °C","6,3 °C","Max. 14:009,6 °C","Min. 06:303,4 °C","7,4 km/h (2 Bft)","Max. 12:3017,7 km/h (3 Bft)"
9,10.01.2008,"7,1 °C","Min. 07:503,5 °C","Max. 15:4010,3 °C",85 %,Min. 19:4075 %,Max. 04:2597 %,"1018,0 hPa","Min. 23:351014,7 hPa","Max. 00:001020,7 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,1 km/h (1 Bft)","Max. 10:204,8 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"4,6 °C","Max. 15:257,3 °C","Min. 07:552,5 °C","7,1 °C","Max. 15:4010,3 °C","Min. 07:553,5 °C","4,9 km/h (1 Bft)","Max. 11:0516,1 km/h (3 Bft)"
