,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2016,"5,1 °C","Min. 00:251,9 °C","Max. 14:408,2 °C",92 %,Min. 14:2082 %,Max. 09:4599 %,"1024,6 hPa","Min. 23:551019,1 hPa","Max. 08:401027,3 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,6 km/h (1 Bft)","Max. 22:307,3 km/h (2 Bft)",W-SW,"0,67 h","Max. 14:350,58 h","0,279 mm","Max. 14:050,076 mm","0,0 UV-I","Max. 00:000,0 UV-I",56 W/m²,Max. 13:15288 W/m²,"3,9 °C","Max. 13:156,1 °C","Min. 00:251,5 °C","5,1 °C","Max. 14:358,1 °C","Min. 00:251,9 °C","5,4 km/h (2 Bft)","Max. 20:2520,9 km/h (4 Bft)"
1,02.01.2016,"4,7 °C","Min. 09:103,8 °C","Max. 23:355,4 °C",92 %,Min. 00:0084 %,Max. 17:5598 %,"1013,6 hPa","Min. 14:151011,8 hPa","Max. 00:001019,1 hPa","7,6 l/m²","Max. 08:000,2 l/m²","2,2 km/h (1 Bft)","Max. 01:008,1 km/h (2 Bft)",W,"0,00 h","Max. 00:000,00 h","0,152 mm","Max. 02:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",23 W/m²,Max. 11:4544 W/m²,"3,6 °C","Max. 23:355,0 °C","Min. 02:402,3 °C","4,7 °C","Max. 23:355,4 °C","Min. 01:003,4 °C","7,1 km/h (2 Bft)","Max. 05:2529,0 km/h (5 Bft)"
2,03.01.2016,"6,0 °C","Min. 23:504,2 °C","Max. 13:307,6 °C",92 %,Min. 17:2585 %,Max. 00:0097 %,"1006,2 hPa","Min. 23:50995,3 hPa","Max. 00:001012,2 hPa","0,6 l/m²","Max. 01:250,2 l/m²","3,5 km/h (1 Bft)","Max. 23:2512,4 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,203 mm","Max. 14:050,050 mm","0,0 UV-I","Max. 00:000,0 UV-I",51 W/m²,Max. 11:20116 W/m²,"4,9 °C","Max. 11:156,1 °C","Min. 23:252,6 °C","5,9 °C","Max. 13:307,6 °C","Min. 23:20-0,0 °C","9,7 km/h (2 Bft)","Max. 23:2530,6 km/h (5 Bft)"
3,04.01.2016,"5,3 °C","Min. 00:553,4 °C","Max. 13:007,6 °C",94 %,Min. 00:0091 %,Max. 07:2597 %,"992,5 hPa","Min. 06:45990,7 hPa","Max. 00:00995,1 hPa","6,0 l/m²","Max. 00:100,2 l/m²","3,0 km/h (1 Bft)","Max. 02:259,0 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,102 mm","Max. 12:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",36 W/m²,Max. 12:55156 W/m²,"4,5 °C","Max. 11:556,4 °C","Min. 01:052,4 °C","5,3 °C","Max. 13:007,5 °C","Min. 01:201,4 °C","8,8 km/h (2 Bft)","Max. 01:2025,7 km/h (4 Bft)"
4,05.01.2016,"5,3 °C","Min. 04:053,6 °C","Max. 15:006,8 °C",96 %,Min. 00:5093 %,Max. 06:2097 %,"995,3 hPa","Min. 05:45993,3 hPa","Max. 23:40997,5 hPa","10,2 l/m²","Max. 04:400,4 l/m²","1,5 km/h (1 Bft)","Max. 17:354,4 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,178 mm","Max. 11:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",45 W/m²,Max. 14:25121 W/m²,"4,6 °C","Max. 15:056,1 °C","Min. 04:052,7 °C","5,3 °C","Max. 15:006,8 °C","Min. 04:053,6 °C","4,7 km/h (1 Bft)","Max. 13:3012,9 km/h (3 Bft)"
5,06.01.2016,"5,6 °C","Min. 03:255,2 °C","Max. 12:356,6 °C",94 %,Min. 14:2091 %,Max. 00:0096 %,"999,6 hPa","Min. 00:00997,5 hPa","Max. 19:551001,6 hPa","0,4 l/m²","Max. 09:500,2 l/m²","1,4 km/h (1 Bft)","Max. 11:554,3 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,178 mm","Max. 12:000,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",46 W/m²,Max. 11:50142 W/m²,"4,8 °C","Max. 11:505,5 °C","Min. 08:204,4 °C","5,6 °C","Max. 12:306,5 °C","Min. 03:255,2 °C","4,5 km/h (1 Bft)","Max. 12:1511,3 km/h (2 Bft)"
6,07.01.2016,"5,4 °C","Min. 17:254,7 °C","Max. 21:506,5 °C",91 %,Min. 13:3081 %,Max. 20:1597 %,"998,2 hPa","Min. 13:10993,7 hPa","Max. 03:051002,0 hPa","4,2 l/m²","Max. 14:000,4 l/m²","3,9 km/h (1 Bft)","Max. 14:209,0 km/h (2 Bft)",SO,"0,17 h","Max. 16:300,08 h","0,229 mm","Max. 11:000,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",43 W/m²,Max. 11:35129 W/m²,"4,1 °C","Max. 21:305,4 °C","Min. 09:203,0 °C","5,2 °C","Max. 22:156,5 °C","Min. 15:502,7 °C","11,3 km/h (2 Bft)","Max. 10:4025,7 km/h (4 Bft)"
7,08.01.2016,"5,2 °C","Min. 08:302,4 °C","Max. 12:508,2 °C",85 %,Min. 14:5074 %,Max. 07:3595 %,"1005,2 hPa","Min. 00:001001,6 hPa","Max. 10:501007,8 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,4 km/h (1 Bft)","Max. 19:355,3 km/h (1 Bft)",SO,"2,00 h","Max. 14:401,92 h","0,483 mm","Max. 12:000,102 mm","0,5 UV-I","Max. 12:300,6 UV-I",109 W/m²,Max. 11:45338 W/m²,"2,9 °C","Max. 12:504,2 °C","Min. 07:251,5 °C","5,2 °C","Max. 12:508,2 °C","Min. 08:302,4 °C","4,6 km/h (1 Bft)","Max. 19:3512,9 km/h (3 Bft)"
8,09.01.2016,"3,0 °C","Min. 06:000,2 °C","Max. 23:455,9 °C",94 %,Min. 14:0091 %,Max. 06:0097 %,"1003,3 hPa","Min. 23:501000,1 hPa","Max. 04:301004,6 hPa","0,0 l/m²","Max. 00:020,0 l/m²","0,1 km/h (0 Bft)","Max. 23:352,0 km/h (1 Bft)",W-SW,"0,50 h","Max. 00:020,00 h","0,178 mm","Max. 13:000,051 mm","0,0 UV-I","Max. 00:020,0 UV-I",60 W/m²,Max. 13:00123 W/m²,"2,2 °C","Max. 23:405,1 °C","Min. 04:30-0,2 °C","3,0 °C","Max. 23:405,8 °C","Min. 06:000,3 °C","2,1 km/h (1 Bft)","Max. 12:006,4 km/h (2 Bft)"
9,10.01.2016,"6,7 °C","Min. 02:054,2 °C","Max. 14:208,6 °C",92 %,Min. 16:2583 %,Max. 02:2097 %,"997,0 hPa","Min. 16:30995,3 hPa","Max. 00:001000,2 hPa","6,6 l/m²","Max. 06:101,0 l/m²","2,3 km/h (1 Bft)","Max. 08:155,9 km/h (2 Bft)",SO,"0,08 h","Max. 00:000,00 h","0,203 mm","Max. 13:000,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",56 W/m²,Max. 12:40205 W/m²,"5,5 °C","Max. 12:406,6 °C","Min. 02:003,6 °C","6,7 °C","Max. 14:208,6 °C","Min. 02:004,3 °C","6,8 km/h (2 Bft)","Max. 07:5519,3 km/h (3 Bft)"
