,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2019,"6,3 °C","Min. 23:505,3 °C","Max. 12:556,9 °C",93 %,Min. 23:2582 %,Max. 00:0096 %,"1029,0 hPa","Min. 17:451026,5 hPa","Max. 00:101032,9 hPa","0,4 l/m²","Max. 19:150,2 l/m²","1,4 km/h (1 Bft)","Max. 23:257,2 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,051 mm","Max. 12:050,025 mm","0,0 UV-I","Max. 00:000,0 UV-I",21 W/m²,Max. 12:3056 W/m²,"5,3 °C","Max. 00:006,0 °C","Min. 23:502,7 °C","6,3 °C","Max. 12:556,9 °C","Min. 23:254,9 °C","6,3 km/h (2 Bft)","Max. 23:5524,1 km/h (4 Bft)"
1,02.01.2019,"3,5 °C","Min. 23:55-1,8 °C","Max. 14:156,4 °C",77 %,Min. 15:0560 %,Max. 23:5587 %,"1032,1 hPa","Min. 00:001027,9 hPa","Max. 23:551036,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","3,3 km/h (1 Bft)","Max. 14:2510,6 km/h (2 Bft)",NW,"1,83 h","Max. 16:151,75 h","0,610 mm","Max. 15:050,102 mm","0,3 UV-I","Max. 12:050,3 UV-I",78 W/m²,Max. 13:40297 W/m²,"-0,3 °C","Max. 00:002,7 °C","Min. 23:45-3,7 °C","3,4 °C","Max. 14:356,3 °C","Min. 23:55-1,8 °C","9,5 km/h (2 Bft)","Max. 02:0025,7 km/h (4 Bft)"
2,03.01.2019,"-1,0 °C","Min. 06:20-3,9 °C","Max. 19:050,8 °C",92 %,Min. 00:0087 %,Max. 19:4595 %,"1037,3 hPa","Min. 00:001036,4 hPa","Max. 10:451038,5 hPa","0,2 l/m²","Max. 20:000,2 l/m²","0,3 km/h (0 Bft)","Max. 12:404,5 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,127 mm","Max. 11:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",36 W/m²,Max. 09:5081 W/m²,"-2,1 °C","Max. 19:550,1 °C","Min. 06:20-5,1 °C","-1,0 °C","Max. 19:100,8 °C","Min. 06:20-3,9 °C","1,3 km/h (1 Bft)","Max. 08:208,0 km/h (2 Bft)"
3,04.01.2019,"1,3 °C","Min. 01:25-0,3 °C","Max. 14:302,9 °C",93 %,Min. 15:3090 %,Max. 09:3096 %,"1035,8 hPa","Min. 20:151033,1 hPa","Max. 09:201038,0 hPa","1,0 l/m²","Max. 10:300,2 l/m²","0,1 km/h (0 Bft)","Max. 15:552,3 km/h (1 Bft)",SO,"0,50 h","Max. 12:400,42 h","0,203 mm","Max. 13:000,051 mm","0,3 UV-I","Max. 12:300,5 UV-I",70 W/m²,Max. 12:35255 W/m²,"0,4 °C","Max. 13:401,7 °C","Min. 01:25-1,1 °C","1,3 °C","Max. 14:302,9 °C","Min. 01:25-0,3 °C","0,9 km/h (0 Bft)","Max. 15:258,0 km/h (2 Bft)"
4,05.01.2019,"2,9 °C","Min. 09:351,7 °C","Max. 23:454,6 °C",96 %,Min. 00:0094 %,Max. 10:2596 %,"1029,6 hPa","Min. 13:301028,0 hPa","Max. 00:001033,1 hPa","8,4 l/m²","Max. 00:100,2 l/m²","0,4 km/h (0 Bft)","Max. 12:153,8 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",11 W/m²,Max. 14:4026 W/m²,"2,2 °C","Max. 23:454,0 °C","Min. 09:351,0 °C","2,9 °C","Max. 23:454,6 °C","Min. 09:351,7 °C","1,7 km/h (1 Bft)","Max. 12:1511,3 km/h (2 Bft)"
5,06.01.2019,"5,0 °C","Min. 23:504,5 °C","Max. 12:405,7 °C",96 %,Min. 00:0096 %,Max. 03:0597 %,"1030,7 hPa","Min. 00:251028,9 hPa","Max. 22:451033,0 hPa","8,4 l/m²","Max. 00:150,2 l/m²","0,4 km/h (0 Bft)","Max. 05:152,4 km/h (1 Bft)",W,"0,00 h","Max. 00:000,00 h","0,102 mm","Max. 12:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",24 W/m²,Max. 10:3550 W/m²,"4,5 °C","Max. 14:055,3 °C","Min. 23:503,9 °C","5,0 °C","Max. 12:555,7 °C","Min. 23:504,5 °C","2,1 km/h (1 Bft)","Max. 16:5511,3 km/h (2 Bft)"
6,07.01.2019,"4,1 °C","Min. 23:103,2 °C","Max. 15:155,3 °C",96 %,Min. 16:4094 %,Max. 11:3597 %,"1031,7 hPa","Min. 23:551025,5 hPa","Max. 10:151033,7 hPa","3,8 l/m²","Max. 03:150,2 l/m²","0,6 km/h (0 Bft)","Max. 23:205,3 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,152 mm","Max. 12:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",45 W/m²,Max. 12:3591 W/m²,"3,4 °C","Max. 14:404,6 °C","Min. 23:102,5 °C","4,1 °C","Max. 14:405,2 °C","Min. 23:103,2 °C","2,5 km/h (1 Bft)","Max. 23:1517,7 km/h (3 Bft)"
7,08.01.2019,"4,7 °C","Min. 01:203,1 °C","Max. 12:206,8 °C",90 %,Min. 23:3579 %,Max. 10:3597 %,"1017,1 hPa","Min. 23:251014,0 hPa","Max. 00:001025,4 hPa","2,8 l/m²","Max. 01:250,4 l/m²","3,9 km/h (1 Bft)","Max. 18:258,0 km/h (2 Bft)",S-SW,"0,00 h","Max. 00:000,00 h","0,203 mm","Max. 13:050,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",40 W/m²,Max. 12:20143 W/m²,"3,2 °C","Max. 11:104,9 °C","Min. 23:451,6 °C","4,7 °C","Max. 12:206,8 °C","Min. 03:202,2 °C","12,9 km/h (3 Bft)","Max. 22:3027,4 km/h (5 Bft)"
8,09.01.2019,"3,0 °C","Min. 23:451,1 °C","Max. 00:004,9 °C",85 %,Min. 15:5073 %,Max. 08:5095 %,"1014,7 hPa","Min. 05:451012,5 hPa","Max. 23:351018,9 hPa","3,2 l/m²","Max. 06:200,4 l/m²","3,5 km/h (1 Bft)","Max. 15:4010,1 km/h (2 Bft)",NW,"0,17 h","Max. 12:550,08 h","0,305 mm","Max. 13:050,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",42 W/m²,Max. 12:50220 W/m²,"0,8 °C","Max. 12:502,3 °C","Min. 20:30-1,2 °C","2,9 °C","Max. 00:004,9 °C","Min. 15:400,5 °C","11,4 km/h (2 Bft)","Max. 15:4025,7 km/h (4 Bft)"
9,10.01.2019,"1,7 °C","Min. 23:50-0,7 °C","Max. 11:302,9 °C",81 %,Min. 20:0068 %,Max. 00:5093 %,"1023,3 hPa","Min. 00:001018,9 hPa","Max. 23:501026,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,8 km/h (1 Bft)","Max. 09:155,3 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,305 mm","Max. 18:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",31 W/m²,Max. 11:25108 W/m²,"-1,3 °C","Max. 03:200,1 °C","Min. 22:30-4,1 °C","1,7 °C","Max. 11:302,9 °C","Min. 23:35-0,6 °C","6,5 km/h (2 Bft)","Max. 09:0016,1 km/h (3 Bft)"
