,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2010,"2,5 °C","Min. 23:450,1 °C","Max. 00:006,9 °C",91 %,Min. 18:4084 %,Max. 00:0095 %,"994,6 hPa","Min. 04:15990,1 hPa","Max. 23:501004,4 hPa","0,2 l/m²","Max. 08:550,2 l/m²","2,5 km/h (1 Bft)","Max. 13:507,6 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,3 °C","Max. 00:006,2 °C","Min. 19:35-1,8 °C","2,5 °C","Max. 00:006,9 °C","Min. 23:450,1 °C","9,2 km/h (2 Bft)","Max. 16:4022,5 km/h (4 Bft)"
1,02.01.2010,"-0,4 °C","Min. 09:35-1,7 °C","Max. 13:501,8 °C",84 %,Min. 13:5564 %,Max. 00:2093 %,"1015,4 hPa","Min. 00:001004,5 hPa","Max. 23:351021,2 hPa","1,2 l/m²","Max. 12:050,2 l/m²","2,0 km/h (1 Bft)","Max. 04:456,8 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-2,8 °C","Max. 00:20-1,0 °C","Min. 13:55-4,5 °C","-0,4 °C","Max. 13:501,8 °C","Min. 09:45-1,7 °C","7,3 km/h (2 Bft)","Max. 04:4019,3 km/h (3 Bft)"
2,03.01.2010,"-0,4 °C","Min. 23:50-3,1 °C","Max. 15:551,1 °C",84 %,Min. 23:4080 %,Max. 18:4089 %,"1019,5 hPa","Min. 15:301018,4 hPa","Max. 00:201021,2 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,9 km/h (1 Bft)","Max. 20:405,8 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-2,7 °C","Max. 17:45-1,1 °C","Min. 23:50-6,0 °C","-0,4 °C","Max. 16:001,1 °C","Min. 23:50-3,1 °C","7,2 km/h (2 Bft)","Max. 20:3020,9 km/h (4 Bft)"
3,04.01.2010,"-2,9 °C","Min. 08:50-4,1 °C","Max. 14:15-1,7 °C",81 %,Min. 18:2573 %,Max. 05:4587 %,"1016,7 hPa","Min. 23:551013,8 hPa","Max. 00:001019,8 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,0 km/h (0 Bft)","Max. 19:253,5 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-5,7 °C","Max. 13:15-4,7 °C","Min. 23:40-6,6 °C","-2,9 °C","Max. 14:15-1,7 °C","Min. 08:50-4,1 °C","4,6 km/h (1 Bft)","Max. 00:009,7 km/h (2 Bft)"
4,05.01.2010,"-4,5 °C","Min. 08:55-8,1 °C","Max. 15:05-1,8 °C",81 %,Min. 15:1072 %,Max. 05:4590 %,"1008,1 hPa","Min. 23:451003,1 hPa","Max. 00:001013,8 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,9 km/h (0 Bft)","Max. 19:155,7 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-7,4 °C","Max. 14:25-5,6 °C","Min. 09:00-9,6 °C","-4,5 °C","Max. 15:05-1,8 °C","Min. 09:00-8,1 °C","3,7 km/h (1 Bft)","Max. 19:1516,1 km/h (3 Bft)"
5,06.01.2010,"-3,1 °C","Min. 18:20-3,6 °C","Max. 00:20-2,6 °C",75 %,Min. 02:1573 %,Max. 12:0079 %,"1003,9 hPa","Min. 05:351002,2 hPa","Max. 22:301006,3 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,7 km/h (0 Bft)","Max. 02:104,5 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-6,8 °C","Max. 12:00-5,9 °C","Min. 19:25-7,5 °C","-3,1 °C","Max. 00:20-2,6 °C","Min. 18:00-3,5 °C","3,5 km/h (1 Bft)","Max. 02:4011,3 km/h (2 Bft)"
6,07.01.2010,"-1,8 °C","Min. 01:50-3,7 °C","Max. 13:501,3 °C",83 %,Min. 13:5072 %,Max. 22:5088 %,"1009,2 hPa","Min. 00:051006,2 hPa","Max. 23:501012,8 hPa","0,2 l/m²","Max. 13:350,2 l/m²","0,5 km/h (0 Bft)","Max. 20:353,3 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-4,3 °C","Max. 23:30-2,8 °C","Min. 00:00-6,8 °C","-1,8 °C","Max. 13:501,3 °C","Min. 01:50-3,7 °C","2,7 km/h (1 Bft)","Max. 10:459,7 km/h (2 Bft)"
7,08.01.2010,"-1,7 °C","Min. 23:45-4,0 °C","Max. 03:250,1 °C",80 %,Min. 16:1571 %,Max. 23:4089 %,"1012,2 hPa","Min. 18:001010,7 hPa","Max. 08:351013,9 hPa","0,0 l/m²","Max. 00:000,0 l/m²","3,0 km/h (1 Bft)","Max. 10:557,3 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-4,6 °C","Max. 00:05-3,0 °C","Min. 19:35-5,8 °C","-1,7 °C","Max. 03:250,1 °C","Min. 23:50-4,0 °C","11,3 km/h (2 Bft)","Max. 17:2525,7 km/h (4 Bft)"
8,09.01.2010,"-2,7 °C","Min. 00:45-4,3 °C","Max. 14:20-1,3 °C",85 %,Min. 13:2577 %,Max. 04:2591 %,"1009,0 hPa","Min. 15:051007,6 hPa","Max. 00:051010,9 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,0 km/h (1 Bft)","Max. 10:008,8 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-4,9 °C","Max. 18:45-3,9 °C","Min. 00:30-5,7 °C","-2,7 °C","Max. 13:25-1,4 °C","Min. 10:00-5,1 °C","8,0 km/h (2 Bft)","Max. 10:0024,1 km/h (4 Bft)"
9,10.01.2010,"-2,0 °C","Min. 03:20-2,9 °C","Max. 13:35-0,8 °C",88 %,Min. 13:5583 %,Max. 09:2592 %,"1012,9 hPa","Min. 01:101008,5 hPa","Max. 21:501016,7 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,3 km/h (0 Bft)","Max. 00:052,3 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,7 °C","Max. 12:00-2,9 °C","Min. 00:00-4,5 °C","-2,0 °C","Max. 13:35-0,8 °C","Min. 03:25-2,9 °C","2,3 km/h (1 Bft)","Max. 00:109,7 km/h (2 Bft)"
10,11.01.2010,"-1,8 °C","Min. 03:25-2,3 °C","Max. 13:35-0,9 °C",91 %,Min. 12:1589 %,Max. 06:0093 %,"1016,7 hPa","Min. 14:351015,8 hPa","Max. 23:501018,0 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,1 km/h (0 Bft)","Max. 09:501,0 km/h (0 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,0 °C","Max. 13:35-2,5 °C","Min. 02:05-3,5 °C","-1,8 °C","Max. 13:35-0,9 °C","Min. 03:30-2,3 °C","1,1 km/h (1 Bft)","Max. 09:204,8 km/h (1 Bft)"
11,12.01.2010,"-1,0 °C","Min. 00:00-1,8 °C","Max. 14:400,1 °C",88 %,Min. 23:3079 %,Max. 00:0093 %,"1014,1 hPa","Min. 23:501007,3 hPa","Max. 03:001018,1 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,1 km/h (1 Bft)","Max. 23:358,7 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-2,7 °C","Max. 13:10-2,0 °C","Min. 23:50-4,2 °C","-1,0 °C","Max. 14:400,1 °C","Min. 23:35-3,4 °C","7,5 km/h (2 Bft)","Max. 20:2030,6 km/h (5 Bft)"
12,13.01.2010,"-1,6 °C","Min. 08:10-2,7 °C","Max. 23:50-0,3 °C",84 %,Min. 12:0074 %,Max. 23:0593 %,"1007,3 hPa","Min. 05:301005,8 hPa","Max. 22:201008,8 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,5 km/h (1 Bft)","Max. 01:0512,5 km/h (2 Bft)",W,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,9 °C","Max. 23:55-1,3 °C","Min. 09:10-5,6 °C","-1,7 °C","Max. 23:55-0,3 °C","Min. 01:05-7,2 °C","5,7 km/h (2 Bft)","Max. 00:4032,2 km/h (5 Bft)"
13,14.01.2010,"1,0 °C","Min. 05:50-0,9 °C","Max. 15:004,6 °C",88 %,Min. 15:1078 %,Max. 01:0594 %,"1009,0 hPa","Min. 14:251007,3 hPa","Max. 23:551013,3 hPa","6,6 l/m²","Max. 16:501,0 l/m²","1,2 km/h (1 Bft)","Max. 16:306,7 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-0,7 °C","Max. 14:501,5 °C","Min. 05:50-1,9 °C","1,0 °C","Max. 14:504,5 °C","Min. 05:50-0,9 °C","5,0 km/h (1 Bft)","Max. 15:5022,5 km/h (4 Bft)"
14,15.01.2010,"0,6 °C","Min. 08:45-0,3 °C","Max. 12:151,3 °C",83 %,Min. 13:1579 %,Max. 23:2587 %,"1021,8 hPa","Min. 00:001013,3 hPa","Max. 23:101027,0 hPa","0,8 l/m²","Max. 03:500,2 l/m²","1,4 km/h (1 Bft)","Max. 07:156,4 km/h (2 Bft)",O,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-2,0 °C","Max. 00:10-1,4 °C","Min. 09:00-3,0 °C","0,6 °C","Max. 12:151,3 °C","Min. 08:45-0,3 °C","5,1 km/h (1 Bft)","Max. 00:0017,7 km/h (3 Bft)"
15,16.01.2010,"0,3 °C","Min. 06:15-1,0 °C","Max. 13:551,7 °C",84 %,Min. 14:0078 %,Max. 00:0087 %,"1020,5 hPa","Min. 23:451012,9 hPa","Max. 00:101027,0 hPa","0,4 l/m²","Max. 12:350,2 l/m²","2,1 km/h (1 Bft)","Max. 11:407,0 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-2,2 °C","Max. 23:50-0,9 °C","Min. 18:25-2,9 °C","0,3 °C","Max. 13:551,7 °C","Min. 06:15-1,0 °C","7,9 km/h (2 Bft)","Max. 11:4022,5 km/h (4 Bft)"
16,17.01.2010,"4,1 °C","Min. 00:001,3 °C","Max. 12:105,8 °C",93 %,Min. 00:0086 %,Max. 07:1095 %,"1015,5 hPa","Min. 06:351009,9 hPa","Max. 23:401024,0 hPa","12,4 l/m²","Max. 05:350,6 l/m²","1,7 km/h (1 Bft)","Max. 12:106,7 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,1 °C","Max. 10:455,0 °C","Min. 00:00-0,8 °C","4,1 °C","Max. 12:155,8 °C","Min. 00:001,3 °C","6,4 km/h (2 Bft)","Max. 10:5019,3 km/h (3 Bft)"
