49.40661,8.67645
49.4041,8.6795
49.4047,8.6857
49.4042,8.6910
49.40222,8.68129
49.40455,8.67861
49.40750,8.66701
49.40895,8.66881
49.40931,8.67147
49.40173,8.67096
49.40046,8.67696
49.39973,8.68007
49.39865,8.68328
49.39851,8.68587
49.39764,8.68917
49.40006,8.69130
49.41427,8.68109
49.41610,8.67705
49.41741,8.66925
49.41878,8.67392
49.41876,8.68172
49.41353,8.67105
49.41742,8.66918
49.40751,8.69507
49.41081,8.69249
49.41319,8.69305
49.40888,8.66881
49.39887,8.66876
49.39649,8.67455
49.39431,8.68081
