,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.10.2007,"15,6 °C","Min. 07:358,7 °C","Max. 16:1022,5 °C",77 %,Min. 14:4057 %,Max. 08:3098 %,"1022,5 hPa","Min. 23:551020,3 hPa","Max. 08:351024,2 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,5 km/h (0 Bft)","Max. 15:254,8 km/h (1 Bft)",N,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"11,3 °C","Max. 20:5514,5 °C","Min. 00:156,0 °C","15,6 °C","Max. 16:1022,5 °C","Min. 07:358,7 °C","2,8 km/h (1 Bft)","Max. 00:1516,1 km/h (3 Bft)"
1,02.10.2007,"17,2 °C","Min. 02:1515,4 °C","Max. 17:2020,1 °C",89 %,Min. 00:0083 %,Max. 22:2095 %,"1019,4 hPa","Min. 17:501018,4 hPa","Max. 00:001020,3 hPa","11,4 l/m²","Max. 10:403,0 l/m²","0,1 km/h (0 Bft)","Max. 13:253,2 km/h (1 Bft)",N,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"15,4 °C","Max. 17:2017,7 °C","Min. 02:1513,4 °C","17,2 °C","Max. 17:2020,1 °C","Min. 02:1515,4 °C","1,7 km/h (1 Bft)","Max. 13:258,0 km/h (2 Bft)"
2,03.10.2007,"17,7 °C","Min. 07:0016,3 °C","Max. 16:4020,6 °C",92 %,Min. 16:4580 %,Max. 09:5596 %,"1018,3 hPa","Min. 17:501017,0 hPa","Max. 10:401019,1 hPa","6,8 l/m²","Max. 07:251,6 l/m²","0,2 km/h (0 Bft)","Max. 06:053,2 km/h (1 Bft)",N,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"16,3 °C","Max. 14:1517,5 °C","Min. 07:0015,3 °C","17,7 °C","Max. 16:4020,6 °C","Min. 07:0016,3 °C","2,1 km/h (1 Bft)","Max. 12:108,0 km/h (2 Bft)"
3,04.10.2007,"18,1 °C","Min. 23:2515,1 °C","Max. 14:3023,0 °C",88 %,Min. 14:3070 %,Max. 05:2096 %,"1019,4 hPa","Min. 03:351018,3 hPa","Max. 23:551020,9 hPa","0,2 l/m²","Max. 05:500,2 l/m²","0,7 km/h (0 Bft)","Max. 14:404,8 km/h (1 Bft)",N,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"16,0 °C","Max. 12:1518,1 °C","Min. 23:0514,0 °C","18,1 °C","Max. 14:2522,9 °C","Min. 23:1515,2 °C","2,5 km/h (1 Bft)","Max. 15:0514,5 km/h (3 Bft)"
4,05.10.2007,"16,5 °C","Min. 22:5513,9 °C","Max. 14:0020,8 °C",77 %,Min. 14:0060 %,Max. 00:0094 %,"1021,4 hPa","Min. 17:501020,6 hPa","Max. 10:451022,8 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,0 km/h (1 Bft)","Max. 23:409,7 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"12,2 °C","Max. 01:0514,6 °C","Min. 23:207,3 °C","16,5 °C","Max. 14:0020,8 °C","Min. 23:4013,1 °C","6,7 km/h (2 Bft)","Max. 23:4025,7 km/h (4 Bft)"
5,06.10.2007,"14,7 °C","Min. 07:5010,8 °C","Max. 13:3518,4 °C",61 %,Min. 13:4545 %,Max. 07:4076 %,"1021,0 hPa","Min. 04:451020,3 hPa","Max. 09:551021,9 hPa","0,0 l/m²","Max. 00:000,0 l/m²","5,4 km/h (2 Bft)","Max. 00:0511,3 km/h (2 Bft)",O-NO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"7,2 °C","Max. 17:208,2 °C","Min. 13:456,2 °C","14,3 °C","Max. 13:3518,4 °C","Min. 07:5010,8 °C","14,6 km/h (3 Bft)","Max. 00:1529,0 km/h (5 Bft)"
6,07.10.2007,"13,1 °C","Min. 08:006,8 °C","Max. 17:1018,3 °C",70 %,Min. 13:2049 %,Max. 08:0591 %,"1021,2 hPa","Min. 17:401019,7 hPa","Max. 09:201022,5 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,4 km/h (1 Bft)","Max. 00:509,7 km/h (2 Bft)",O-NO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"7,3 °C","Max. 10:409,0 °C","Min. 08:005,3 °C","13,0 °C","Max. 17:1018,3 °C","Min. 08:006,8 °C","7,6 km/h (2 Bft)","Max. 00:1027,4 km/h (5 Bft)"
7,08.10.2007,"11,0 °C","Min. 07:205,2 °C","Max. 17:0518,6 °C",80 %,Min. 17:1053 %,Max. 08:2094 %,"1022,6 hPa","Min. 00:401020,7 hPa","Max. 23:351024,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,4 km/h (0 Bft)","Max. 11:203,2 km/h (1 Bft)",N,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"7,4 °C","Max. 14:0510,0 °C","Min. 07:204,0 °C","11,0 °C","Max. 17:0518,6 °C","Min. 07:205,2 °C","1,9 km/h (1 Bft)","Max. 17:259,7 km/h (2 Bft)"
8,09.10.2007,"11,0 °C","Min. 07:355,4 °C","Max. 16:0018,1 °C",82 %,Min. 16:2554 %,Max. 08:4095 %,"1024,4 hPa","Min. 23:501022,4 hPa","Max. 10:401026,1 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,4 km/h (0 Bft)","Max. 14:003,2 km/h (1 Bft)",N,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"7,8 °C","Max. 13:5510,6 °C","Min. 07:354,4 °C","11,0 °C","Max. 16:0018,1 °C","Min. 07:355,4 °C","2,0 km/h (1 Bft)","Max. 15:209,7 km/h (2 Bft)"
9,10.10.2007,"12,6 °C","Min. 07:459,3 °C","Max. 16:4018,8 °C",77 %,Min. 16:5552 %,Max. 06:3592 %,"1022,5 hPa","Min. 03:401021,3 hPa","Max. 23:351025,3 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,6 km/h (0 Bft)","Max. 10:453,2 km/h (1 Bft)",N,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"8,4 °C","Max. 12:4010,8 °C","Min. 01:507,0 °C","12,6 °C","Max. 16:4018,8 °C","Min. 08:209,3 °C","2,9 km/h (1 Bft)","Max. 13:5011,3 km/h (2 Bft)"
