,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2017,"-2,6 °C","Min. 00:25-4,1 °C","Max. 20:35-1,3 °C",95 %,Min. 14:4592 %,Max. 00:0096 %,"1023,8 hPa","Min. 15:401020,5 hPa","Max. 00:001029,8 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,4 km/h (1 Bft)","Max. 09:206,0 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,102 mm","Max. 13:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",46 W/m²,Max. 11:45105 W/m²,"-3,3 °C","Max. 19:55-2,1 °C","Min. 00:30-4,8 °C","-2,6 °C","Max. 19:55-1,4 °C","Min. 00:25-4,1 °C","7,0 km/h (2 Bft)","Max. 08:3014,5 km/h (3 Bft)"
1,02.01.2017,"0,2 °C","Min. 00:00-1,4 °C","Max. 16:001,0 °C",95 %,Min. 03:4591 %,Max. 12:0596 %,"1022,7 hPa","Min. 06:201020,8 hPa","Max. 23:501026,5 hPa","1,0 l/m²","Max. 16:000,4 l/m²","0,7 km/h (0 Bft)","Max. 04:502,6 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,025 mm","Max. 13:000,025 mm","0,0 UV-I","Max. 00:000,0 UV-I",27 W/m²,Max. 12:3069 W/m²,"-0,6 °C","Max. 15:300,3 °C","Min. 00:40-2,3 °C","0,2 °C","Max. 15:300,9 °C","Min. 00:00-1,4 °C","3,2 km/h (1 Bft)","Max. 06:458,0 km/h (2 Bft)"
2,03.01.2017,"0,5 °C","Min. 05:30-0,3 °C","Max. 14:402,1 °C",93 %,Min. 22:1589 %,Max. 09:1097 %,"1026,4 hPa","Min. 23:551022,4 hPa","Max. 10:351028,4 hPa","1,4 l/m²","Max. 00:200,2 l/m²","2,2 km/h (1 Bft)","Max. 23:355,9 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,152 mm","Max. 12:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",47 W/m²,Max. 14:30107 W/m²,"-0,4 °C","Max. 14:400,9 °C","Min. 23:45-1,4 °C","0,5 °C","Max. 14:402,1 °C","Min. 05:30-0,3 °C","6,5 km/h (2 Bft)","Max. 23:3517,7 km/h (3 Bft)"
3,04.01.2017,"1,0 °C","Min. 01:10-0,2 °C","Max. 23:152,6 °C",93 %,Min. 00:0090 %,Max. 12:4595 %,"1017,2 hPa","Min. 15:251014,9 hPa","Max. 00:001022,4 hPa","1,4 l/m²","Max. 12:100,2 l/m²","3,6 km/h (1 Bft)","Max. 11:256,7 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,025 mm","Max. 13:050,025 mm","0,0 UV-I","Max. 00:000,0 UV-I",19 W/m²,Max. 14:1552 W/m²,"0,0 °C","Max. 21:401,4 °C","Min. 01:15-1,5 °C","0,9 °C","Max. 23:152,6 °C","Min. 01:15-0,2 °C","10,2 km/h (2 Bft)","Max. 11:1022,5 km/h (4 Bft)"
4,05.01.2017,"-0,7 °C","Min. 23:10-4,4 °C","Max. 00:002,5 °C",83 %,Min. 15:2564 %,Max. 09:2596 %,"1027,6 hPa","Min. 00:101018,9 hPa","Max. 23:501037,4 hPa","0,8 l/m²","Max. 00:050,2 l/m²","1,5 km/h (1 Bft)","Max. 15:106,2 km/h (2 Bft)",NW,"2,42 h","Max. 14:302,33 h","0,406 mm","Max. 13:000,101 mm","0,4 UV-I","Max. 12:200,5 UV-I",109 W/m²,Max. 13:05327 W/m²,"-3,4 °C","Max. 00:001,0 °C","Min. 23:45-7,1 °C","-0,7 °C","Max. 00:002,5 °C","Min. 23:55-4,4 °C","5,4 km/h (2 Bft)","Max. 12:5519,3 km/h (3 Bft)"
5,06.01.2017,"-5,3 °C","Min. 07:30-7,7 °C","Max. 13:00-2,1 °C",76 %,Min. 14:2055 %,Max. 05:5091 %,"1039,9 hPa","Min. 00:001037,4 hPa","Max. 10:101041,8 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,5 km/h (1 Bft)","Max. 10:506,8 km/h (2 Bft)",O,"3,08 h","Max. 14:153,00 h","0,381 mm","Max. 13:000,102 mm","0,5 UV-I","Max. 11:500,5 UV-I",111 W/m²,Max. 12:20281 W/m²,"-9,1 °C","Max. 00:30-6,8 °C","Min. 23:35-10,7 °C","-5,3 °C","Max. 12:55-2,2 °C","Min. 07:30-7,7 °C","5,0 km/h (1 Bft)","Max. 09:3516,1 km/h (3 Bft)"
6,07.01.2017,"-5,1 °C","Min. 02:35-7,7 °C","Max. 23:15-3,2 °C",77 %,Min. 10:1069 %,Max. 23:5095 %,"1035,1 hPa","Min. 23:501030,6 hPa","Max. 00:001039,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,9 km/h (1 Bft)","Max. 12:505,4 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,229 mm","Max. 13:050,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",65 W/m²,Max. 12:10132 W/m²,"-8,6 °C","Max. 23:50-3,9 °C","Min. 02:00-11,2 °C","-5,1 °C","Max. 23:15-3,2 °C","Min. 02:45-7,7 °C","6,2 km/h (2 Bft)","Max. 01:2017,7 km/h (3 Bft)"
7,08.01.2017,"-1,2 °C","Min. 00:05-3,2 °C","Max. 22:050,1 °C",95 %,Min. 00:0095 %,Max. 20:2096 %,"1031,0 hPa","Min. 05:301029,5 hPa","Max. 22:101032,2 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,0 km/h (0 Bft)","Max. 10:002,7 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",11 W/m²,Max. 12:4517 W/m²,"-1,9 °C","Max. 22:05-0,5 °C","Min. 00:00-3,8 °C","-1,2 °C","Max. 22:050,1 °C","Min. 00:00-3,1 °C","3,6 km/h (1 Bft)","Max. 02:208,0 km/h (2 Bft)"
8,09.01.2017,"0,6 °C","Min. 02:100,0 °C","Max. 13:201,4 °C",94 %,Min. 23:3088 %,Max. 06:0096 %,"1026,8 hPa","Min. 23:301018,7 hPa","Max. 00:001031,6 hPa","1,6 l/m²","Max. 12:050,2 l/m²","1,9 km/h (1 Bft)","Max. 21:005,2 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,102 mm","Max. 13:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",41 W/m²,Max. 13:15102 W/m²,"-0,2 °C","Max. 13:200,5 °C","Min. 23:30-1,0 °C","0,6 °C","Max. 13:201,4 °C","Min. 05:550,0 °C","5,7 km/h (2 Bft)","Max. 13:1512,9 km/h (3 Bft)"
9,10.01.2017,"0,6 °C","Min. 09:00-0,1 °C","Max. 13:301,4 °C",91 %,Min. 04:3082 %,Max. 18:0596 %,"1012,6 hPa","Min. 13:301009,7 hPa","Max. 00:001018,3 hPa","2,8 l/m²","Max. 13:000,4 l/m²","1,6 km/h (1 Bft)","Max. 01:004,8 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,178 mm","Max. 14:000,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",60 W/m²,Max. 13:30123 W/m²,"-0,7 °C","Max. 14:300,5 °C","Min. 05:30-2,2 °C","0,6 °C","Max. 13:301,4 °C","Min. 09:000,0 °C","6,7 km/h (2 Bft)","Max. 01:3016,1 km/h (3 Bft)"
