,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
10,11.01.2013,"2,1 °C","Min. 09:150,3 °C","Max. 12:554,4 °C",80 %,Min. 14:2061 %,Max. 00:0094 %,"1015,5 hPa","Min. 03:551011,3 hPa","Max. 23:251018,5 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,7 km/h (0 Bft)","Max. 14:304,4 km/h (1 Bft)",S-SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-1,1 °C","Max. 05:301,9 °C","Min. 17:15-3,6 °C","2,1 °C","Max. 12:454,3 °C","Min. 09:150,3 °C","3,3 km/h (1 Bft)","Max. 07:0014,5 km/h (3 Bft)"
11,12.01.2013,"-0,2 °C","Min. 08:15-1,1 °C","Max. 15:400,9 °C",85 %,Min. 18:5075 %,Max. 05:0593 %,"1017,9 hPa","Min. 20:301016,4 hPa","Max. 11:101018,9 hPa","0,8 l/m²","Max. 12:450,2 l/m²","0,6 km/h (0 Bft)","Max. 20:306,4 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-2,5 °C","Max. 05:05-1,3 °C","Min. 18:50-4,5 °C","-0,2 °C","Max. 13:400,8 °C","Min. 08:15-1,1 °C","3,1 km/h (1 Bft)","Max. 20:3024,1 km/h (4 Bft)"
12,13.01.2013,"0,0 °C","Min. 08:15-1,0 °C","Max. 13:051,7 °C",75 %,Min. 13:1069 %,Max. 01:2581 %,"1015,4 hPa","Min. 23:301014,3 hPa","Max. 00:001016,9 hPa","0,2 l/m²","Max. 14:500,2 l/m²","1,0 km/h (0 Bft)","Max. 06:154,7 km/h (1 Bft)",O-NO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,8 °C","Max. 14:50-2,7 °C","Min. 05:30-4,5 °C","0,0 °C","Max. 13:051,7 °C","Min. 08:20-1,0 °C","5,2 km/h (1 Bft)","Max. 05:0519,3 km/h (3 Bft)"
13,14.01.2013,"-1,2 °C","Min. 23:10-4,3 °C","Max. 13:250,3 °C",83 %,Min. 00:0573 %,Max. 15:1092 %,"1013,7 hPa","Min. 23:551012,3 hPa","Max. 10:551014,6 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,3 km/h (0 Bft)","Max. 13:253,0 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,8 °C","Max. 15:10-2,1 °C","Min. 23:10-5,8 °C","-1,2 °C","Max. 13:250,3 °C","Min. 23:10-4,3 °C","2,1 km/h (1 Bft)","Max. 14:2511,3 km/h (2 Bft)"
14,15.01.2013,"-0,2 °C","Min. 01:50-4,2 °C","Max. 11:101,5 °C",83 %,Min. 10:5074 %,Max. 23:2592 %,"1006,8 hPa","Min. 13:451004,8 hPa","Max. 00:001012,2 hPa","0,2 l/m²","Max. 13:450,2 l/m²","2,2 km/h (1 Bft)","Max. 09:458,8 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-2,8 °C","Max. 16:05-0,6 °C","Min. 01:50-6,3 °C","-0,2 °C","Max. 11:101,5 °C","Min. 01:50-4,2 °C","8,3 km/h (2 Bft)","Max. 04:4024,1 km/h (4 Bft)"
15,16.01.2013,"-1,2 °C","Min. 17:25-2,2 °C","Max. 02:300,3 °C",91 %,Min. 13:3585 %,Max. 04:5093 %,"1008,2 hPa","Min. 00:001006,2 hPa","Max. 23:551010,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,3 km/h (0 Bft)","Max. 23:202,7 km/h (1 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-2,4 °C","Max. 00:55-0,9 °C","Min. 17:25-3,5 °C","-1,2 °C","Max. 02:350,3 °C","Min. 17:25-2,2 °C","2,5 km/h (1 Bft)","Max. 22:509,7 km/h (2 Bft)"
16,17.01.2013,"-2,0 °C","Min. 07:55-3,3 °C","Max. 13:45-1,2 °C",90 %,Min. 13:5585 %,Max. 00:0093 %,"1013,7 hPa","Min. 00:101010,3 hPa","Max. 19:501015,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,2 km/h (1 Bft)","Max. 11:505,0 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,3 °C","Max. 22:25-2,3 °C","Min. 07:55-4,6 °C","-2,0 °C","Max. 13:45-1,2 °C","Min. 07:55-3,3 °C","8,4 km/h (2 Bft)","Max. 05:1016,1 km/h (3 Bft)"
17,18.01.2013,"-1,0 °C","Min. 04:55-1,8 °C","Max. 12:450,4 °C",83 %,Min. 15:5574 %,Max. 00:0093 %,"1009,3 hPa","Min. 23:551002,1 hPa","Max. 00:001014,5 hPa","0,4 l/m²","Max. 12:400,2 l/m²","1,5 km/h (1 Bft)","Max. 10:406,4 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,6 °C","Max. 00:00-2,3 °C","Min. 23:25-4,8 °C","-1,0 °C","Max. 12:450,4 °C","Min. 05:00-1,8 °C","6,6 km/h (2 Bft)","Max. 16:4020,9 km/h (4 Bft)"
18,19.01.2013,"-1,4 °C","Min. 08:30-2,2 °C","Max. 15:350,2 °C",78 %,Min. 13:0573 %,Max. 08:2583 %,"997,4 hPa","Min. 23:55995,3 hPa","Max. 00:001002,1 hPa","0,4 l/m²","Max. 14:250,2 l/m²","2,7 km/h (1 Bft)","Max. 22:308,9 km/h (2 Bft)",O-NO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-4,7 °C","Max. 12:55-3,8 °C","Min. 06:25-5,2 °C","-1,4 °C","Max. 15:350,2 °C","Min. 22:30-4,3 °C","10,5 km/h (2 Bft)","Max. 22:3029,0 km/h (5 Bft)"
19,20.01.2013,"-0,9 °C","Min. 03:40-2,1 °C","Max. 12:300,3 °C",83 %,Min. 12:5076 %,Max. 17:5592 %,"994,6 hPa","Min. 16:55993,0 hPa","Max. 23:40996,9 hPa","0,4 l/m²","Max. 16:200,2 l/m²","1,0 km/h (0 Bft)","Max. 09:357,6 km/h (2 Bft)",O,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,4 °C","Max. 17:55-0,9 °C","Min. 05:55-5,3 °C","-0,9 °C","Max. 13:150,3 °C","Min. 09:35-3,0 °C","4,6 km/h (1 Bft)","Max. 09:4024,1 km/h (4 Bft)"
20,21.01.2013,"0,2 °C","Min. 00:45-0,8 °C","Max. 13:001,3 °C",92 %,Min. 22:1587 %,Max. 10:25100 %,"998,9 hPa","Min. 00:00997,0 hPa","Max. 21:201000,0 hPa","7,8 l/m²","Max. 13:000,6 l/m²","0,4 km/h (0 Bft)","Max. 21:505,5 km/h (2 Bft)",O,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-1,0 °C","Max. 10:250,0 °C","Min. 00:45-2,1 °C","0,2 °C","Max. 13:001,3 °C","Min. 00:45-0,8 °C","1,7 km/h (1 Bft)","Max. 21:4516,1 km/h (3 Bft)"
