,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2018,"8,6 °C","Min. 23:056,7 °C","Max. 00:0512,1 °C",76 %,Min. 16:5563 %,Max. 23:1093 %,"1004,7 hPa","Min. 20:35999,0 hPa","Max. 10:401010,4 hPa","0,6 l/m²","Max. 02:400,2 l/m²","5,1 km/h (1 Bft)","Max. 11:159,1 km/h (2 Bft)",S,"0,17 h","Max. 12:300,08 h","0,686 mm","Max. 13:000,076 mm","0,0 UV-I","Max. 00:000,0 UV-I",61 W/m²,Max. 12:25252 W/m²,"4,5 °C","Max. 00:057,0 °C","Min. 16:552,1 °C","8,5 °C","Max. 00:0512,1 °C","Min. 07:505,9 °C","13,8 km/h (3 Bft)","Max. 12:1032,2 km/h (5 Bft)"
1,02.01.2018,"6,4 °C","Min. 06:555,4 °C","Max. 13:057,3 °C",82 %,Min. 15:5574 %,Max. 00:0093 %,"1011,5 hPa","Min. 00:001002,8 hPa","Max. 13:151015,1 hPa","0,4 l/m²","Max. 09:300,2 l/m²","3,2 km/h (1 Bft)","Max. 23:106,8 km/h (2 Bft)",S,"0,17 h","Max. 12:100,08 h","0,432 mm","Max. 12:050,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",41 W/m²,Max. 12:05189 W/m²,"3,6 °C","Max. 00:005,6 °C","Min. 17:102,5 °C","6,4 °C","Max. 13:057,3 °C","Min. 07:005,4 °C","9,5 km/h (2 Bft)","Max. 00:5525,7 km/h (4 Bft)"
2,03.01.2018,"8,1 °C","Min. 00:506,0 °C","Max. 07:0011,2 °C",82 %,Min. 13:4563 %,Max. 07:4094 %,"1000,1 hPa","Min. 07:35989,8 hPa","Max. 00:001009,0 hPa","0,4 l/m²","Max. 12:400,2 l/m²","5,3 km/h (1 Bft)","Max. 07:5512,3 km/h (2 Bft)",S-SO,"1,17 h","Max. 16:101,08 h","0,559 mm","Max. 14:000,101 mm","0,0 UV-I","Max. 00:000,0 UV-I",66 W/m²,Max. 13:25299 W/m²,"5,3 °C","Max. 07:409,9 °C","Min. 13:553,2 °C","7,8 °C","Max. 07:2010,2 °C","Min. 08:006,0 °C","16,1 km/h (3 Bft)","Max. 13:3538,6 km/h (6 Bft)"
3,04.01.2018,"8,2 °C","Min. 09:106,1 °C","Max. 19:3011,7 °C",90 %,Min. 00:1580 %,Max. 17:0597 %,"999,7 hPa","Min. 19:45994,9 hPa","Max. 00:451004,1 hPa","0,4 l/m²","Max. 12:300,2 l/m²","3,3 km/h (1 Bft)","Max. 21:507,2 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,229 mm","Max. 02:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",20 W/m²,Max. 12:2541 W/m²,"6,7 °C","Max. 19:4011,2 °C","Min. 00:154,1 °C","8,2 °C","Max. 19:3011,7 °C","Min. 09:156,1 °C","10,0 km/h (2 Bft)","Max. 21:5027,4 km/h (5 Bft)"
4,05.01.2018,"9,3 °C","Min. 21:558,3 °C","Max. 12:3011,2 °C",87 %,Min. 01:5078 %,Max. 16:3595 %,"1000,9 hPa","Min. 13:40999,0 hPa","Max. 23:501004,3 hPa","0,2 l/m²","Max. 15:300,2 l/m²","2,5 km/h (1 Bft)","Max. 02:108,1 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,330 mm","Max. 02:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",28 W/m²,Max. 11:00101 W/m²,"7,3 °C","Max. 15:309,0 °C","Min. 02:304,9 °C","9,3 °C","Max. 12:3011,2 °C","Min. 02:107,1 °C","7,9 km/h (2 Bft)","Max. 01:2527,4 km/h (5 Bft)"
5,06.01.2018,"8,1 °C","Min. 08:556,7 °C","Max. 13:308,7 °C",94 %,Min. 06:0093 %,Max. 00:0095 %,"1006,6 hPa","Min. 00:051004,3 hPa","Max. 23:501010,7 hPa","14,0 l/m²","Max. 10:1513,0 l/m²","0,6 km/h (0 Bft)","Max. 04:503,3 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,102 mm","Max. 12:000,026 mm","0,0 UV-I","Max. 00:000,0 UV-I",29 W/m²,Max. 13:0055 W/m²,"7,2 °C","Max. 13:457,9 °C","Min. 08:555,6 °C","8,1 °C","Max. 13:458,7 °C","Min. 08:556,7 °C","2,7 km/h (1 Bft)","Max. 16:0514,5 km/h (3 Bft)"
6,07.01.2018,"7,4 °C","Min. 17:306,8 °C","Max. 12:558,3 °C",88 %,Min. 22:3081 %,Max. 05:5596 %,"1017,2 hPa","Min. 00:001010,6 hPa","Max. 23:001020,9 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,5 km/h (1 Bft)","Max. 11:356,8 km/h (2 Bft)",W-SW,"0,00 h","Max. 00:000,00 h","0,353 mm","Max. 12:050,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",42 W/m²,Max. 12:20123 W/m²,"5,5 °C","Max. 07:307,0 °C","Min. 17:303,9 °C","7,4 °C","Max. 12:208,2 °C","Min. 17:306,8 °C","10,0 km/h (2 Bft)","Max. 17:3024,1 km/h (4 Bft)"
7,08.01.2018,"7,4 °C","Min. 08:306,9 °C","Max. 13:058,1 °C",80 %,Min. 13:1577 %,Max. 04:0083 %,"1019,7 hPa","Min. 23:551015,7 hPa","Max. 09:301021,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","3,8 km/h (1 Bft)","Max. 12:3010,8 km/h (2 Bft)",NO,"0,00 h","Max. 00:000,00 h","0,610 mm","Max. 12:000,051 mm","0,0 UV-I","Max. 00:000,0 UV-I",62 W/m²,Max. 12:00155 W/m²,"4,3 °C","Max. 04:004,6 °C","Min. 23:403,7 °C","7,3 °C","Max. 13:058,1 °C","Min. 22:254,0 °C","15,4 km/h (3 Bft)","Max. 17:4529,0 km/h (5 Bft)"
8,09.01.2018,"7,0 °C","Min. 09:505,3 °C","Max. 12:5510,2 °C",82 %,Min. 13:0072 %,Max. 18:5589 %,"1012,4 hPa","Min. 13:401010,5 hPa","Max. 00:001015,7 hPa","0,0 l/m²","Max. 00:000,0 l/m²","2,0 km/h (1 Bft)","Max. 00:4010,8 km/h (2 Bft)",N,"1,75 h","Max. 13:401,67 h","0,559 mm","Max. 13:050,127 mm","0,0 UV-I","Max. 00:000,0 UV-I",101 W/m²,Max. 12:05347 W/m²,"4,2 °C","Max. 13:155,7 °C","Min. 09:503,2 °C","7,0 °C","Max. 12:5510,2 °C","Min. 00:403,7 °C","7,1 km/h (2 Bft)","Max. 00:4037,0 km/h (5 Bft)"
9,10.01.2018,"8,4 °C","Min. 07:306,8 °C","Max. 13:4011,7 °C",79 %,Min. 13:3562 %,Max. 06:4589 %,"1011,3 hPa","Min. 14:151009,7 hPa","Max. 02:251012,4 hPa","0,2 l/m²","Max. 21:050,2 l/m²","1,5 km/h (1 Bft)","Max. 00:505,1 km/h (1 Bft)",S,"0,58 h","Max. 13:300,50 h","0,584 mm","Max. 14:000,101 mm","0,0 UV-I","Max. 00:000,0 UV-I",84 W/m²,Max. 13:25245 W/m²,"4,9 °C","Max. 15:455,7 °C","Min. 17:054,0 °C","8,4 °C","Max. 13:4011,7 °C","Min. 07:306,8 °C","5,1 km/h (1 Bft)","Max. 16:1020,9 km/h (4 Bft)"
