,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2011,"0,3 °C","Min. 03:40-0,4 °C","Max. 14:051,1 °C",92 %,Min. 00:0090 %,Max. 21:0094 %,"1021,8 hPa","Min. 18:201020,4 hPa","Max. 00:001024,4 hPa","0,2 l/m²","Max. 12:450,2 l/m²","1,3 km/h (1 Bft)","Max. 10:504,9 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-0,9 °C","Max. 21:00-0,2 °C","Min. 00:00-1,7 °C","0,3 °C","Max. 14:051,1 °C","Min. 05:50-0,4 °C","4,7 km/h (1 Bft)","Max. 07:5011,3 km/h (2 Bft)"
1,02.01.2011,"0,8 °C","Min. 23:05-1,0 °C","Max. 14:352,8 °C",92 %,Min. 14:2081 %,Max. 03:3595 %,"1022,5 hPa","Min. 01:001020,1 hPa","Max. 22:301024,3 hPa","0,6 l/m²","Max. 01:450,2 l/m²","0,1 km/h (0 Bft)","Max. 18:352,1 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-0,4 °C","Max. 11:250,4 °C","Min. 22:55-1,9 °C","0,8 °C","Max. 14:402,8 °C","Min. 23:10-1,0 °C","1,1 km/h (1 Bft)","Max. 12:156,4 km/h (2 Bft)"
2,03.01.2011,"-0,7 °C","Min. 22:40-3,2 °C","Max. 14:052,6 °C",92 %,Min. 14:1084 %,Max. 21:40100 %,"1024,1 hPa","Min. 22:051022,7 hPa","Max. 10:401025,1 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,2 km/h (0 Bft)","Max. 10:402,4 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-1,7 °C","Max. 14:050,3 °C","Min. 22:40-4,2 °C","-0,7 °C","Max. 14:052,6 °C","Min. 22:40-3,2 °C","1,5 km/h (1 Bft)","Max. 08:006,4 km/h (2 Bft)"
3,04.01.2011,"-3,9 °C","Min. 23:00-7,4 °C","Max. 12:20-0,4 °C",90 %,Min. 13:0078 %,Max. 00:0094 %,"1020,3 hPa","Min. 23:501018,7 hPa","Max. 00:001022,7 hPa","0,8 l/m²","Max. 12:200,2 l/m²","0,6 km/h (0 Bft)","Max. 11:203,6 km/h (1 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-5,3 °C","Max. 12:20-3,1 °C","Min. 23:00-8,5 °C","-3,9 °C","Max. 12:20-0,4 °C","Min. 23:00-7,4 °C","3,0 km/h (1 Bft)","Max. 11:209,7 km/h (2 Bft)"
4,05.01.2011,"-2,4 °C","Min. 00:00-6,9 °C","Max. 23:100,7 °C",83 %,Min. 15:1071 %,Max. 00:3593 %,"1014,0 hPa","Min. 23:451007,1 hPa","Max. 00:001018,7 hPa","0,2 l/m²","Max. 13:000,2 l/m²","0,8 km/h (0 Bft)","Max. 12:303,5 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-5,0 °C","Max. 23:00-2,3 °C","Min. 00:00-8,0 °C","-2,4 °C","Max. 23:100,7 °C","Min. 00:00-6,9 °C","3,9 km/h (1 Bft)","Max. 09:3511,3 km/h (2 Bft)"
5,06.01.2011,"5,2 °C","Min. 01:40-0,2 °C","Max. 23:009,4 °C",92 %,Min. 00:0082 %,Max. 08:3595 %,"1003,5 hPa","Min. 16:101001,6 hPa","Max. 00:001007,0 hPa","4,0 l/m²","Max. 04:350,2 l/m²","1,9 km/h (1 Bft)","Max. 04:556,4 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"4,0 °C","Max. 23:058,0 °C","Min. 01:30-2,5 °C","5,2 °C","Max. 23:009,4 °C","Min. 01:30-0,1 °C","6,8 km/h (2 Bft)","Max. 17:2519,3 km/h (3 Bft)"
6,07.01.2011,"10,2 °C","Min. 00:309,1 °C","Max. 12:1511,4 °C",92 %,Min. 12:3087 %,Max. 10:2095 %,"1008,5 hPa","Min. 00:001005,1 hPa","Max. 09:051010,0 hPa","3,8 l/m²","Max. 09:150,2 l/m²","1,3 km/h (1 Bft)","Max. 16:156,8 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"9,0 °C","Max. 18:4510,3 °C","Min. 00:307,7 °C","10,2 °C","Max. 12:1511,4 °C","Min. 00:309,1 °C","5,0 km/h (1 Bft)","Max. 16:1517,7 km/h (3 Bft)"
7,08.01.2011,"11,8 °C","Min. 00:009,5 °C","Max. 13:3015,0 °C",84 %,Min. 14:4072 %,Max. 00:2096 %,"1009,3 hPa","Min. 14:051008,5 hPa","Max. 10:301010,6 hPa","6,0 l/m²","Max. 00:450,4 l/m²","2,0 km/h (1 Bft)","Max. 13:056,6 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"9,1 °C","Max. 12:3510,4 °C","Min. 18:557,7 °C","11,8 °C","Max. 13:3015,0 °C","Min. 00:009,5 °C","7,1 km/h (2 Bft)","Max. 13:1519,3 km/h (3 Bft)"
8,09.01.2011,"8,5 °C","Min. 23:553,4 °C","Max. 06:2012,2 °C",85 %,Min. 06:1569 %,Max. 13:4594 %,"1011,8 hPa","Min. 06:101007,3 hPa","Max. 23:451019,4 hPa","5,8 l/m²","Max. 12:250,4 l/m²","1,2 km/h (1 Bft)","Max. 04:306,1 km/h (2 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"6,0 °C","Max. 00:058,6 °C","Min. 23:552,2 °C","8,5 °C","Max. 06:2012,2 °C","Min. 23:553,4 °C","5,1 km/h (1 Bft)","Max. 12:2019,3 km/h (3 Bft)"
9,10.01.2011,"1,0 °C","Min. 08:40-1,4 °C","Max. 00:053,3 °C",93 %,Min. 23:0085 %,Max. 08:0095 %,"1021,3 hPa","Min. 23:501017,7 hPa","Max. 09:501023,6 hPa","0,0 l/m²","Max. 00:050,0 l/m²","0,4 km/h (0 Bft)","Max. 23:003,6 km/h (1 Bft)",NW,"0,00 h","Max. 00:050,00 h","0,000 mm","Max. 00:050,000 mm","0,0 UV-I","Max. 00:050,0 UV-I",0 W/m²,Max. 00:050 W/m²,"-0,0 °C","Max. 00:052,3 °C","Min. 08:40-2,2 °C","1,0 °C","Max. 00:053,3 °C","Min. 08:40-1,4 °C","2,1 km/h (1 Bft)","Max. 23:5016,1 km/h (3 Bft)"
